category,old_name,new_name,status,used_for,notes
aftermarket & accessories,United Scientific Industries,,not_renamed,SUSAT,Proposed 'British Scientific Manufacturing'; not applied.
aftermarket & accessories,Unity Tactical,Harmony Tactical,done,FAST mounts,
aftermarket & accessories,US Palm,US Pine,done,AK grips,
aftermarket & accessories,velesCo,Veles,unverified,PM parts,Proposed 'Veles' but that brand went to Zenitco; velesCo items unverified.
aftermarket & accessories,Veriforce Tactical,Quix Tacticals,done,AR handguards/gastubes,
aftermarket & accessories,Viking Tactics (VTAC),,unverified,slings,Proposed 'Aesir Gear'; not applied.
aftermarket & accessories,Wasatch Arms,Watcher Armory,done,KOSCH 10mm compensator,
aftermarket & accessories,WAS Woodworks,,not_renamed,wood furniture,Proposed 'IS Joineries'; not applied.
aftermarket & accessories,Weaver Optics,Spinner Optics,done,multi-slot rail bases,
aftermarket & accessories,Wilson Combat,Whitner Defense,done,"EDC X9 parts, mounts",
aftermarket & accessories,Windham Weaponry,Windsor Armory,done,"slings, railed gasblocks",
aftermarket & accessories,Wyatt's Outdoors,Scrubs' Outdoors,done,hunting accessories,
aftermarket & accessories,X Products,Cartesia Productions,done,"X-25/X-FAL drums, FANG trigger module",
aftermarket & accessories,X-Caliber,Ex-Call,done,.223 Wylde barrels,
aftermarket & accessories,XS Sights,HG Sights,unverified,870 ghost rings,HG Shortrail Ghost Ring.
aftermarket & accessories,ZEV Technologies,Zvetech,done,"Z17 slides, KOSCH slide parts",Interim 'ZVE Technologies' (companies.csv); final applied name is Zvetech.
aftermarket & accessories,Zenit-BelOMO,Veles ChelOMO,done,"PK-AS, PRC combos",Covered by Zenitco + BelOMO rows.
aftermarket & accessories,,Hughnitions Company,unidentified,cheek pads,Real-world origin not recorded.
aftermarket & accessories,,Abom's CNC Works,unidentified,Picatinny SUSAT adapter,Possibly Monstrum Tactical: companies.csv proposed 'Abomination Military Supply'.
aftermarket & accessories,,Roch Custom,unidentified,Löwenherz AUG Para 9x19 40R mag,Real-world origin not recorded.
aftermarket & accessories,,KHF,unidentified,I-E-A 34mm rings,Real-world origin not recorded.
"fictional, origin unknown",,Archient Technologies,unidentified,,Real-world origin not recorded.
"fictional, origin unknown",,EST,unidentified,,Real-world origin not recorded.
"fictional, origin unknown",,UG Tactical,unidentified,,Real-world origin not recorded.
"fictional, origin unknown",,PM-Laser LTsU,unidentified,PM laser module,LTsU = Russian for laser designator; origin unclear.
"fictional, origin unknown",,Gral-S,unidentified,GP-25 style sight?,Possibly a real Russian designation; unverified.
"fictional, origin unknown",,Ascend Armament,unidentified,,Real-world origin not recorded.
"fictional, origin unknown",,EWS,unidentified,,Real-world origin not recorded.
kept / notes,Adron,,note,,Fictional (ex-Axion) - listed in sheet.csv 'not renamed' by mistake.
kept / notes,B&T,,kept,GHM9/APC parts,Real name kept.
kept / notes,Baikal / Izhevsk Mech. Plant,,kept,PM pistol parts,Real factory/city name 'Izhevsk' used.
kept / notes,German Democratic Republic (GDR),,kept,East German AK furniture,Historical origin label kept as-is.
kept / notes,FujiFilm,,not_renamed,X-T20 camera prop,Real non-firearms brand still used (internal id stupid_camera).
kept / notes,Ops-Core,,not_renamed,FAST SF helmet gear rows,Gear rows carry internal ids only (ops_core_fast_sf); no display name in this sheet.
kept / notes,Buck Knives,,kept,bayonet/knife,Real name kept.
kept / notes,Dynamic Development Group,,note,,This IS the fictional name for KDG; sheet.csv listed it as real by mistake.
kept / notes,5.45 Design,,kept,AK furniture,Real name kept.
kept / notes,IGB Austria,,kept,barrels,Real name kept.
kept / notes,Northeast Industries,,note,,Fictional (ex-Midwest); sheet.csv listed as real by mistake.
kept / notes,Ontario Knife Company,,kept,M9 bayonet,Real name kept.
kept / notes,SB Tactical,,kept,pistol braces,Real name kept.
kept / notes,Swampfox,,kept,optics,Real name kept.
kept / notes,TDI Arms,,kept,AK furniture,Real name kept.
